cbsa_code,cbsa_name,metro_micro,city_name,state_fips,place_fips
23140,"Frankfort, IN",micropolitan,Frankfort,18,25324
23180,"Frankfort, KY",micropolitan,Frankfort,21,28900
23240,"Fredericksburg, TX",micropolitan,Fredericksburg,48,27348
23300,"Freeport, IL",micropolitan,Freeport,17,27884
23340,"Fremont, NE",micropolitan,Fremont,31,17670
23380,"Fremont, OH",micropolitan,Fremont,39,28826
23420,"Fresno, CA",metropolitan,Fresno,6,27000
23460,"Gadsden, AL",metropolitan,Gadsden,1,28696
23500,"Gaffney, SC",micropolitan,Gaffney,45,28060
23540,"Gainesville, FL",metropolitan,Gainesville,12,25175
23580,"Gainesville, GA",metropolitan,Gainesville,13,31908
23620,"Gainesville, TX",micropolitan,Gainesville,48,27984
23660,"Galesburg, IL",micropolitan,Galesburg,17,28326
23700,"Gallup, NM",micropolitan,Gallup,35,28460
23780,"Garden City, KS",micropolitan,Garden City,20,25325
23820,"Gardnerville Ranchos, NV",micropolitan,Gardnerville Ranchos,32,26500
